 ne:            2 ns:            5 nr:            5 nen:            2 nm:            5

  Time(s)     T(K)        Tv(K)       P(Pa)       rho(kg/m^3) Y_N         Y_O         Y_NO        Y_N2        Y_O2        wdot_N      wdot_O      wdot_NO     wdot_N2     wdot_O2     wdot(kg/s)  
  0.0000E+00  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01 -0.4778E+04 -0.3295E+06  0.1022E+05  0.8293E+01  0.3241E+06  0.4624E+06
  0.8000E-06  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01 -0.1322E+03 -0.3853E+05  0.1727E+05 -0.7930E+04  0.2932E+05  0.5201E+05
  0.1600E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01 -0.2375E+02 -0.1004E+05  0.1029E+05 -0.4779E+04  0.4557E+04  0.1582E+05
  0.2400E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01 -0.4411E+01 -0.3372E+04  0.6336E+04 -0.2953E+04 -0.6184E+01  0.7762E+04
  0.3200E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01 -0.2167E+00 -0.1366E+04  0.3898E+04 -0.1820E+04 -0.7126E+03  0.4570E+04
  0.4000E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.5194E+00 -0.6480E+03  0.2384E+04 -0.1113E+04 -0.6230E+03  0.2780E+04
  0.4800E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.4887E+00 -0.3440E+03  0.1451E+04 -0.6777E+03 -0.4296E+03  0.1693E+04
  0.5600E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.3420E+00 -0.1952E+03  0.8808E+03 -0.4115E+03 -0.2745E+03  0.1029E+04
  0.6400E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.2191E+00 -0.1146E+03  0.5341E+03 -0.2495E+03 -0.1701E+03  0.6242E+03
  0.7200E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.1357E+00 -0.6848E+02  0.3236E+03 -0.1512E+03 -0.1041E+03  0.3783E+03
  0.8000E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.8286E-01 -0.4122E+02  0.1961E+03 -0.9161E+02 -0.6332E+02  0.2292E+03
  0.8800E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.5033E-01 -0.2490E+02  0.1188E+03 -0.5549E+02 -0.3843E+02  0.1389E+03
  0.9600E-05  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.3051E-01 -0.1507E+02  0.7195E+02 -0.3362E+02 -0.2329E+02  0.8412E+02
  0.1040E-04  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.1848E-01 -0.9124E+01  0.4358E+02 -0.2036E+02 -0.1411E+02  0.5095E+02
  0.1120E-04  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.1119E-01 -0.5526E+01  0.2640E+02 -0.1233E+02 -0.8550E+01  0.3086E+02
  0.1200E-04  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.6776E-02 -0.3347E+01  0.1599E+02 -0.7471E+01 -0.5179E+01  0.1870E+02
  0.1280E-04  0.4000E+04  0.4000E+04  0.1013E+06  0.1250E+01  0.8260E-03  0.1693E+00  0.4896E-01  0.7434E+00  0.3749E-01  0.4104E-02 -0.2027E+01  0.9685E+01 -0.4525E+01 -0.3137E+01  0.1132E+02
